"","category","total_in_category"
"1","ABC - Holders - 9862",9862
"2","Anybodies - Holders - 2843",2843
"3","Atadians - Holders - 4,808",4808
"4","Aurory - Holders - 9505",9501
"5","Boogles - Holders - 98",98
"6","Catalina Whales - Holders - 5,341",5341
"7","Claynosaurs - Holders - 9,751",9751
"8","Communi3 Scientists - Holders - 4,840",4840
"9","Cyber Samurai - Holders - 4,856",4856
"10","DAA - Holders - 9,164",9164
"11","Degods - Holders - 9,704",9704
"12","DFC - Holders - 19,957",19957
"13","DTP  - Holders - 16,404",16404
"14","Duck Punks  - Holders  - 4,019",4019
"15","FFF - Holders - 7,615",7615
"16","Frakt  - Holders - 9,474",9474
"17","GGSG - Holders  -9946",9554
"18","Helions - Holders - 9,714",9714
"19","JellyBeasts - Holders - 2126",2126
"20","LILY- Holders - 8706",8706
"21","Lotus Gang - Holders - 3,861",3861
"22","LS - Holders - 9,758",9758
"23","MBB - Holders - 2,873",2873
"24","Orcanauts - Holders  - 9,383",9383
"25","Ovols- Holders -9,623",9623
"26","Pawnshop Gnomies  - Holders - 5200",5200
"27","Pengu Bots - Holders - 3,210",3210
"28","Pengu Love - Holders - 1,015",1015
"29","Priamtes - Holders - 9,070",9070
"30","Samo - Holders - 4,808",4808
"31","SMB - Holders - 4,777",4777
"32","Smyths - Holders - 4,349",4349
"33","Solgods - Holders -6,357",6583
"34","SolSlimes - Holders - 5,408",5408
"35","SVPPLY - Holders - 1854",1854
"36","Taiyo - Holders - 2,070",2070
"37","TFF - Holders - 7,595",7622
"38","The Anon Club - 867 NFTs",867
"39","Y00ts - Holders - 11,743",11743
